date,taiex_close,verdict,label,flow_score,stock_confirmed,warning_active,confidence,insufficient_data,forward_days,forward_return_pct,max_favorable_pct,max_adverse_pct,long_win,risk_off_win
2026-04-08,34761.38,REVERSAL_CONFIRMED,確認轉折,3,True,False,0,False,5,5.6406,5.6406,0.287,True,False
2026-04-09,34861.16,REVERSAL_CONFIRMED,確認轉折,2,True,False,0,False,5,6.514,6.514,1.5968,True,False
2026-04-10,35417.83,REVERSAL_CONFIRMED,確認轉折,2,True,False,0,False,5,3.9147,4.8399,0.1114,True,False
2026-04-13,35457.29,REVERSAL_CONFIRMED,確認轉折,3,True,False,0,False,5,4.2347,4.7232,2.3657,True,False
2026-04-14,36296.12,NEUTRAL,中性／觀察,1,True,False,0,False,5,3.6064,3.6064,1.1737,True,False
2026-04-15,36722.14,NEUTRAL,中性／觀察,1,True,False,0,False,5,3.1489,3.1489,0.2238,True,False
2026-04-16,37132.02,NEUTRAL,中性／觀察,0,True,False,0,False,5,1.5677,2.0103,-0.8825,True,False
2026-04-17,36804.34,NEUTRAL,中性／觀察,1,True,False,0,False,5,5.7821,5.7821,0.4197,True,False
2026-04-20,36958.8,NEUTRAL,中性／觀察,1,True,False,0,False,5,7.1913,7.1913,1.7487,True,False
2026-04-21,37605.11,NEUTRAL,中性／觀察,1,True,False,0,False,5,5.0967,5.3491,0.29,True,False
2026-04-22,37878.47,REVERSAL_CONFIRMED,確認轉折,2,True,False,0,False,5,3.7621,4.5888,-0.4338,True,False
2026-04-23,37714.15,NEUTRAL,中性／觀察,1,True,False,0,False,5,3.2149,5.0445,3.2149,True,False
2026-04-24,38932.4,NEUTRAL,中性／觀察,1,True,False,0,False,5,4.5534,4.5534,-0.0148,True,False
2026-04-27,39616.63,PANIC_CONTINUES,恐慌持續,1,False,True,0,False,5,2.9095,2.9095,-1.7417,True,False
2026-04-28,39521.73,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,4.0917,4.0917,-1.5058,True,False
2026-04-29,39303.5,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,6.6922,6.6922,-0.9589,True,False
2026-04-30,38926.63,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,6.8778,7.7252,4.5689,True,False
2026-05-04,40705.14,BOUNCE_BREWING,醞釀反彈,2,False,False,0,False,5,2.6653,3.0184,0.1576,True,False
2026-05-05,40769.29,NEUTRAL,中性／觀察,1,False,False,0,False,5,2.7693,2.8563,0.9065,True,False
2026-05-06,41138.85,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,5,0.5728,1.9323,0.5728,True,False
2026-05-07,41933.78,REVERSAL_CONFIRMED,確認轉折,2,True,False,0,False,5,-0.4341,-0.0846,-1.3337,False,True
2026-05-08,41603.94,REVERSAL_CONFIRMED,確認轉折,2,True,False,0,False,5,-1.0374,0.7076,-1.0374,False,True
2026-05-11,41790.06,NEUTRAL,中性／觀察,1,False,False,0,False,5,-2.1494,0.2591,-2.1494,False,True
2026-05-12,41898.32,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,5,-4.1118,-0.3498,-4.1118,False,True
2026-05-13,41374.5,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,5,-3.2718,0.9118,-3.2718,False,True
2026-05-14,41751.75,NEUTRAL,中性／觀察,1,False,False,0,False,5,-0.9186,-0.9186,-4.1458,False,True
2026-05-15,41172.36,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,5,2.661,2.661,-2.7969,True,False
2026-05-18,40891.82,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,5,6.7314,6.7314,-2.13,True,False
2026-05-19,40175.56,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,8.3379,8.6342,-0.3852,True,False
2026-05-20,40020.82,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,5,10.5844,10.5844,3.3667,True,False
2026-05-21,41368.21,BOUNCE_BREWING,醞釀反彈,2,False,False,0,False,5,5.483,6.9826,2.175,True,False
2026-05-22,42267.97,NEUTRAL,中性／觀察,1,False,False,0,False,5,5.8318,5.8318,2.9748,True,False
2026-05-25,43644.4,NEUTRAL,中性／觀察,1,False,False,0,False,5,3.8802,3.8802,-0.2727,True,False
2026-05-26,43525.37,NEUTRAL,中性／觀察,1,False,False,0,False,5,4.6684,4.6684,0.2552,True,False
2026-05-27,44256.8,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,5,4.9763,4.9763,-1.4017,True,False
2026-05-28,43636.44,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,5,4.6773,6.4687,2.5128,True,False
2026-05-29,44732.94,NEUTRAL,中性／觀察,1,False,False,0,False,5,0.7556,3.8589,0.7556,True,False
2026-06-01,45337.91,NEUTRAL,中性／觀察,1,False,False,0,False,5,-4.0477,2.4731,-4.0477,False,True
2026-06-02,45557.31,NEUTRAL,中性／觀察,1,False,False,0,False,5,-1.8721,1.9796,-4.5098,False,True
2026-06-03,46459.16,NEUTRAL,中性／觀察,1,False,False,0,False,5,-6.9601,-1.6826,-6.9601,False,True
2026-06-04,45677.46,PANIC_CONTINUES,恐慌持續,1,False,True,0,False,5,-5.5345,-1.3278,-5.5345,False,True
2026-06-05,45070.94,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,5,-2.0011,-0.8132,-4.2632,False,True
2026-06-08,43502.78,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,5,4.3542,4.3542,-0.8122,True,False
2026-06-09,44704.44,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,2.4712,2.4712,-3.4784,True,False
2026-06-10,43225.54,PANIC_CONTINUES,恐慌持續,1,False,True,0,False,5,6.1349,6.1349,-0.176,True,False
2026-06-11,43149.46,NEUTRAL,中性／觀察,1,False,False,0,False,5,7.6843,7.6843,2.3629,True,False
2026-06-12,44169.04,BOUNCE_BREWING,醞釀反彈,2,False,False,0,False,5,8.0882,8.0882,2.7801,True,False
2026-06-15,45396.99,BOUNCE_BREWING,醞釀反彈,2,False,False,0,False,5,3.7528,5.1645,0.908,True,False
2026-06-16,45809.19,NEUTRAL,中性／觀察,1,False,False,0,False,5,0.5117,4.2182,0.1489,True,False
2026-06-17,45877.39,NEUTRAL,中性／觀察,1,False,False,0,False,5,0.8237,4.0633,0.3623,True,False
2026-06-18,46465.2,NEUTRAL,中性／觀察,1,False,False,0,False,5,-4.075,2.7468,-4.075,False,True
2026-06-22,47741.51,NEUTRAL,中性／觀察,1,False,False,0,False,5,-5.7426,-1.3424,-6.6394,False,True
2026-06-23,47100.65,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,-2.0695,-1.7949,-5.3691,False,True
2026-06-24,46043.6,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,2.1184,2.1184,-3.1966,True,False
2026-06-25,46255.26,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,5,1.057,1.6511,-3.6396,True,False
2026-06-26,44571.76,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,4.9557,5.4905,0.9606,True,False
